[[    0.81003   -0.032646    -0.58548]
 [   0.040295     0.99919  3.5359e-05]
 [      0.585    -0.02362     0.81069]]
[    -106.12     -63.459     -528.77]
[[    0.81003   -0.032646    -0.58548]
 [   0.040295     0.99919  3.5366e-05]
 [      0.585    -0.02362     0.81069]]
[    -106.12     -63.459     -528.77]
[[    0.79693     -0.0253    -0.60354]
 [   0.043918     0.99891    0.016118]
 [    0.60247   -0.039351     0.79717]]
[    -107.88     -62.768     -527.82]
[[    0.82565   -0.032364    -0.56326]
 [   0.016972     0.99933   -0.032541]
 [    0.56393    0.017308     0.82564]]
[    -104.23     -63.541     -511.22]
[[    0.88782   -0.056471    -0.45672]
 [    0.05184      0.9984   -0.022675]
 [    0.45727  -0.0035443     0.88932]]
[     -104.7     -64.126     -515.87]
